ALPHA;1;39;0;0,497
ALPHA;1;39;0;0,533
ALPHA;1;39;0;0,527
ALPHA;1;39;0;0,528
ALPHA;1;39;0;0,547
ALPHA;1;39;0;0,531
ALPHA;1;39;0;0,527
ALPHA;1;39;0;0,525
ALPHA;1;39;0;0,539
ALPHA;1;39;0;0,526
ALPHA;2;39;0;0,537
ALPHA;2;39;0;0,526
ALPHA;2;39;0;0,536
ALPHA;2;39;0;0,524
ALPHA;2;39;0;0,520
ALPHA;2;39;0;0,526
ALPHA;2;39;0;0,533
ALPHA;2;39;0;0,530
ALPHA;2;39;0;0,526
ALPHA;2;39;0;0,543
ALPHA;3;39;0;0,547
ALPHA;3;39;0;0,576
ALPHA;3;39;0;0,600
ALPHA;3;39;0;0,530
ALPHA;3;39;0;0,554
ALPHA;3;39;0;0,548
ALPHA;3;39;0;0,525
ALPHA;3;39;0;0,530
ALPHA;3;39;0;0,537
ALPHA;3;39;0;0,540
ALPHA;1;1943;21;1,782
ALPHA;1;1955;22;1,752
ALPHA;1;1928;20;1,758
ALPHA;1;2034;26;1,781
ALPHA;1;1888;17;1,838
ALPHA;1;1984;23;1,835
ALPHA;1;1844;15;1,844
ALPHA;1;1948;21;1,815
ALPHA;1;1822;13;1,845
ALPHA;1;1941;21;1,800
ALPHA;2;2105;31;1,892
ALPHA;2;1913;19;1,822
ALPHA;2;1852;15;1,781
ALPHA;2;1990;24;1,823
ALPHA;2;1952;21;1,877
ALPHA;2;1901;18;1,812
ALPHA;2;1863;16;1,898
ALPHA;2;2024;26;1,977
ALPHA;2;1975;23;1,810
ALPHA;2;1917;19;1,842
ALPHA;3;2151;34;1,793
ALPHA;3;2240;39;1,788
ALPHA;3;2091;30;1,777
ALPHA;3;2090;30;1,788
ALPHA;3;1917;19;1,818
ALPHA;3;1973;23;1,781
ALPHA;3;2219;38;1,795
ALPHA;3;2007;25;1,804
ALPHA;3;2118;32;1,802
ALPHA;3;2091;30;1,930
ALPHA;1;3864;40;5,636
ALPHA;1;3677;33;5,560
ALPHA;1;3850;40;5,605
ALPHA;1;4036;46;5,587
ALPHA;1;3648;32;5,563
ALPHA;1;3884;41;5,816
ALPHA;1;3806;38;5,970
ALPHA;1;3804;38;6,594
ALPHA;1;3667;33;5,802
ALPHA;1;3806;38;6,753
ALPHA;2;4072;48;7,353
ALPHA;2;3979;44;6,998
ALPHA;2;4060;47;7,122
ALPHA;2;4181;52;7,014
ALPHA;2;4477;63;7,107
ALPHA;2;4037;47;7,219
ALPHA;2;3923;42;6,960
ALPHA;2;3958;44;7,114
ALPHA;2;3785;37;7,121
ALPHA;2;4067;48;7,480
ALPHA;3;4751;72;7,260
ALPHA;3;4660;69;6,533
ALPHA;3;4261;55;5,811
ALPHA;3;4328;57;5,712
ALPHA;3;4064;48;5,700
ALPHA;3;3826;39;5,659
ALPHA;3;3909;42;5,953
ALPHA;3;4116;49;6,732
ALPHA;3;4013;46;7,138
ALPHA;3;4072;48;7,234
ANTS;10;39;0;0,494
ANTS;10;39;0;0,511
ANTS;10;39;0;0,528
ANTS;10;39;0;0,518
ANTS;10;39;0;0,509
ANTS;10;39;0;0,510
ANTS;10;39;0;0,523
ANTS;10;39;0;0,541
ANTS;10;39;0;0,523
ANTS;10;39;0;0,508
ANTS;20;39;0;1,022
ANTS;20;39;0;1,007
ANTS;20;39;0;1,006
ANTS;20;39;0;1,023
ANTS;20;39;0;1,017
ANTS;20;39;0;1,020
ANTS;20;39;0;1,006
ANTS;20;39;0;1,038
ANTS;20;39;0;1,045
ANTS;20;39;0;1,047
ANTS;30;39;0;1,552
ANTS;30;39;0;1,557
ANTS;30;39;0;1,594
ANTS;30;39;0;1,545
ANTS;30;39;0;1,549
ANTS;30;39;0;1,594
ANTS;30;39;0;1,573
ANTS;30;39;0;1,570
ANTS;30;39;0;1,578
ANTS;30;39;0;1,543
ANTS;10;1736;8;1,720
ANTS;10;1917;19;1,810
ANTS;10;2041;27;1,795
ANTS;10;1910;19;1,807
ANTS;10;1938;21;1,745
ANTS;10;1963;22;1,756
ANTS;10;1849;15;1,802
ANTS;10;1907;19;1,997
ANTS;10;1960;22;2,162
ANTS;10;1839;14;2,214
ANTS;20;1881;17;3,846
ANTS;20;1826;14;3,558
ANTS;20;1745;9;3,636
ANTS;20;1786;11;3,481
ANTS;20;1987;24;3,602
ANTS;20;1887;17;3,663
ANTS;20;1838;14;3,702
ANTS;20;1823;13;3,625
ANTS;20;1800;12;3,509
ANTS;20;1953;21;3,533
ANTS;30;1934;20;5,310
ANTS;30;1797;12;5,335
ANTS;30;1814;13;5,216
ANTS;30;1797;12;5,232
ANTS;30;1801;12;5,258
ANTS;30;1790;11;5,242
ANTS;30;1762;10;5,249
ANTS;30;1823;13;5,384
ANTS;30;1799;12;5,273
ANTS;30;1830;14;5,785
ANTS;10;3837;39;6,587
ANTS;10;3651;33;6,809
ANTS;10;3720;35;6,723
ANTS;10;3570;30;6,094
ANTS;10;3929;43;5,498
ANTS;10;3917;42;5,684
ANTS;10;3629;32;5,661
ANTS;10;3818;39;6,980
ANTS;10;3757;36;7,264
ANTS;10;3749;36;6,176
ANTS;20;3815;38;11,230
ANTS;20;3673;33;11,283
ANTS;20;3573;30;11,154
ANTS;20;3755;36;13,206
ANTS;20;3594;30;14,172
ANTS;20;3681;34;13,325
ANTS;20;3629;32;11,380
ANTS;20;3607;31;11,267
ANTS;20;3810;38;12,293
ANTS;20;3668;33;14,427
ANTS;30;3656;33;20,583
ANTS;30;3526;28;21,012
ANTS;30;3496;27;16,784
ANTS;30;3659;33;20,596
ANTS;30;3446;25;18,561
ANTS;30;3384;23;19,683
ANTS;30;3681;34;19,444
ANTS;30;3652;33;19,130
ANTS;30;3538;28;21,651
ANTS;30;3573;30;21,981
BETA;2;39;0;0,498
BETA;2;39;0;0,516
BETA;2;39;0;0,526
BETA;2;39;0;0,533
BETA;2;39;0;0,532
BETA;2;39;0;0,524
BETA;2;39;0;0,523
BETA;2;39;0;0,521
BETA;2;39;0;0,529
BETA;2;39;0;0,520
BETA;3;39;0;0,522
BETA;3;39;0;0,527
BETA;3;39;0;0,523
BETA;3;39;0;0,530
BETA;3;39;0;0,523
BETA;3;39;0;0,619
BETA;3;39;0;0,640
BETA;3;39;0;0,646
BETA;3;39;0;0,627
BETA;3;39;0;0,661
