7,217,217,0,3773700,217,0,573184500,217,0,200527300
8,143,143,0,4157700,143,0,558402400,155,8,241753100
9,188,188,0,5263700,188,0,574805300,194,3,270419900
10,107,107,0,5748800,107,0,582639700,107,0,305611700
11,146,146,0,7673400,146,0,592772800,157,8,337253500
12,183,183,0,8401100,183,0,610861300,183,0,365218000
13,156,156,0,9189500,156,0,608393100,156,0,411990600
14,149,149,0,11087100,160,7,616831400,151,1,427434800
15,155,163,5,12861400,159,3,625169700,176,14,464281700
16,170,171,1,14758900,189,11,628616200,186,9,485686100
17,164,164,0,21515700,164,0,644539200,186,13,528019900
18,160,169,6,18045000,169,6,666379300,168,5,557828600
19,191,229,20,23969100,230,20,680434800,191,0,603484900
20,196,212,8,23486800,252,29,666300000,226,15,628902900
21,180,216,20,25526000,212,18,710212200,207,15,720602900
22,168,175,4,30542400,234,39,712206800,198,18,773269300
23,160,196,23,31217000,204,28,780721900,221,38,903024400
